"vardgivare-id", "vardgivare-namn", "vardenhet-id", "vardenhet-namn"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00327", "Anestesi/Operation/Intensivvård"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00333", "Ortopedi länsklinik"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00357", "Psykiatrin länsgemensamt"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00360", "Psykiatrin Gällivare"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00361", "Psykiatrin Sunderbyn"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00362", "Psykiatrin Piteå"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00369", "Arjeplogs hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00370", "Arvidsjaurs hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00371", "Älvsbyns hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00373", "Piteå hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00374", "Furunäsets hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00375", "Öjebyns hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00376", "Norrfjärdens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00377", "Hortlax hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00379", "Jokkmokks hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00380", "Pajala hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00381", "Granitens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00382", "Malmens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00384", "Malmbergets hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00387", "Övertorneå hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00388", "Överkalix hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00389", "Haparanda hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00390", "Kalix hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00391", "Grytnäs hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00394", "Björkskatans hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00395", "Råneå hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00396", "Stadsvikens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00397", "Mjölkuddens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00398", "Örnäsets hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00399", "Porsöns hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00400", "Bergnäsets hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00401", "Gammelstads hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00402", "Hertsöns hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00405", "Björknäs hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00406", "Sandens hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00407", "Erikslunds hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00419", "Folktandvården Gällivare"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00426", "Tandvårdscentralen"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00456", "Internmedicin"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00459", "Folktandvården Björknäs"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00460", "Barn- o ungdomspsykiatrisk vård SY"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00473", "Folktandvården Porsudden"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00474", "Medicin/Rehab"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00476", "Medicin/Rehab"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00478", "Rehabiliteringsmedicin"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00480", "Barnmedicin och habilitering"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00481", "Barnmedicin och habilitering"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00482", "Medicin/Rehab"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00483", "Barnmedicin och habilitering"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00484", "Medicin/Rehab"
"SE2321000230-E00937", "Praktikertjänst AB", "SE2321000230-E00607", "Cederkliniken vårdcentral"
"SE2321000230-E00937", "Praktikertjänst AB", "SE2321000230-E00608", "Vittangi Vårdcentral"
"SE2321000230-E00851", "Adviva Hälsocentral AB", "SE2321000230-E00851", "Adviva Hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00881", "Allmänkirurgi länsklinik"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00884", "Obstetrisk o gynekologisk länsklin"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00885", "Ögonsjukvård länsklinik"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00886", "ÖNH-kliniken"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00909", "Jourcentralen, Piteå"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00910", "Jourcentralen Luleå"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00911", "Jourcentralen Boden"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E00976", "Jourcentralen Kiruna"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01000", "Ungdomsmottagning Piteå"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01002", "Jourcentralen Gällivare"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01003", "Jourcentralen"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01084", "Laponia hälsocentral"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01099", "Ungdomsmottagning Boden"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01114", "Käkkirurgi"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01118", "Urologi länsklinik"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01120", "ÖNH-kliniken"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01127", "Hudsjukvård"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01128", "Infektionssjukvård"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01135", "Lungsjukvård"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01142", "Rehabiliteringsmedicinsk vård"
"SE2321000230-E00001", "Norrbottens läns landsting", "SE2321000230-E01143", "Reumatologisk vård"
"SE2321000230-E00937", "Praktikertjänst AB", "SE2321000230-E01250", "Vårdcentralen NorraHamn"
"SE2321000115-O10962", "Capio Sjukvård AB", "SE2321000115-O10372", "Husläkarna i Vallda"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O11380", "MHV-UM Laholm"
"SE2321000115-O59300", "Capio Närsjukvård AB", "SE2321000115-O12130", "Capio Cityklin Hstd"
"SE2321000115-O72973", "Capio Familjeläkarna Falkenberg AB", "SE2321000115-O12722", "Famläkarna Söderbro Skrea"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O13566", "Kvälls-/Helgmott Vbg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O13701", "Ortopedimottagningen Kba"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O13965", "Fjärås Vårdcentral"
"SE2321000115-O87974", "Backa Läkarhus", "SE2321000115-O14671", "Närakuten Kungsbacka"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O14806", "Kolla VC"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O15215", "Andersbergs vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O16774", "Vessigebro VC"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O17223", "Håstens VC"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O18739", "Kvälls-/Helgmott Hstd"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O19159", "Medicinkliniken Kba"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O21398", "Västra Vall VC"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O21580", "Kirurgikliniken Varberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O23116", "Ätstörningsmott Halland"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O23488", "KHV/UM Falkenberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O23514", "Kirurgikliniken Halmstad"
"SE2321000115-O85249", "Praktikertjänst AB", "SE2321000115-O26433", "Familjeläkarna Laholm"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O26806", "Vc Falkenberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O27724", "Vuxenpsyk Söder"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O33350", "Hertig Knuts vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O36097", "Bäckagårds Vårdcentral"
"SE2321000115-O14497", "Hälsoringen Vård AB", "SE2321000115-O36731", "Hälso VårdAB Knäred"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O40133", "Öron-,näs- och halsklin"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O42956", "Kungsbacka VC"
"SE2321000115-O81577", "Capio Psykiatri AB", "SE2321000115-O44412", "Capio Psykiatri Varberg"
"SE2321000115-O49258", "Capio Hjärthuset i Varberg AB", "SE2321000115-O44474", "Hjärthuset"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O48336", "Kirurgikliniken Halmstad"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O48674", "Ögonkliniken"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O50007", "Vuxenpsykiatrin Norr"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O50451", "Hyltebruks vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O50542", "Kvälls-/Helgmott Hylte"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O51616", "VC Ullared"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O53107", "Rehabiliteringskliniken"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O55222", "Infektionskliniken"
"SE2321000115-O74132", "Stenblommans Psykiatri AB", "SE2321000115-O56474", "Stenblommans Psykiatri"
"SE2321000115-O81577", "Capio Psykiatri AB", "SE2321000115-O56566", "Capio Psykiatri Kungsbacka"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O58285", "Kvälls-/Helgmott Laholm"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O60392", "KHV/UM Halmstad"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O60991", "Kvinnokliniken Varberg"
"SE2321000115-O81577", "Capio Psykiatri AB", "SE2321000115-O61276", "Tilma Kungsbacka"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O61596", "Specialisttandvården"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O61699", "Medicinkliniken Varberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O66840", "Urologikliniken Varberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O67773", "Åsa vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O69970", "Vallås vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O70556", "Syncentralen"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O71590", "KHV/UM Varberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O71779", "Slöinge Vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O75107", "Getinge Vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O75649", "Barn/Ungdomskliniken Hstd"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O77296", "Ortopedkliniken Varberg"
"SE2321000115-O25809", "Amadeuskliniken Grundplåten AB", "SE2321000115-O77783", "Amadeuskliniken"
"SE2321000115-O85249", "Praktikertjänst AB", "SE2321000115-O78009", "Viktoriaklin Eldsberga"
"SE2321000115-O78315", "Stenblommans Vårdcentral", "SE2321000115-O78315", "Stenblommans Vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O78332", "Vårdcentralen Onsala"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O78453", "Oskarströms vårdcentral"
"SE2321000115-O85249", "Praktikertjänst AB", "SE2321000115-O78708", "Viktoriaklin Kungsgat"
"SE2321000115-O79514", "Familjeläkarna i Laholm", "SE2321000115-O79514", "Familjeläkarna Laholm"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O80267", "Särö Vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O81620", "Vårdcentralen Centrum"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O83901", "KHV Kungsbacka"
"SE2321000115-O85762", "Läjeskliniken", "SE2321000115-O85762", "Läjeskliniken"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O85964", "Veddige VC"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O88198", "Jourcentralen Falkenberg"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O89481", "Ortopedkliniken Halmstad"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O90526", "Medicinkliniken Halmstad"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O90637", "Torups vårdcentral"
"SE2321000115-O10962", "Capio Sjukvård AB", "SE2321000115-O91557", "Husläkarna i Kungsbacka"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O91909", "Habiliteringen"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O94882", "Hudkliniken"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O96067", "Ortopedkliniken Halmstad"
"SE2321000115-O14497", "Hälsoringen Vård AB", "SE2321000115-O96096", "Hälsoringen Glänninge"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O96213", "MHV UM Hylte"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O97797", "Nyhems vårdcentral"
"SE2321000115-O00001", "Region Halland", "SE2321000115-O99305", "Tvååker VC"
